Company Name,Tags,Phone,Address
Smarteam Engrg Ltd,工程師─消防, 2626 1980,"354B Reclamation St, Yau Ma Tei"
永安防火工程公司,工程師─消防, 2481 3898,葵涌 華業工業大廈
立德消防工程公司,工程師─消防, 2770 0292,旺角 百寶利商業中心
創益工程有限公司,工程師─消防, 2499 6177,荃灣 TCL工業中心
成豐環保袋企業有限公司,"環保袋,recycle bag,尼龍袋,帆布袋,郵袋,電腦袋,環保袋,環保袋公司,購物車仔,購物袋", 8113 2378,荃灣 沙咀道362號全發商業大廈17樓1716室
成豐環保袋企業有限公司,環保袋, 3749 9619,荃灣 全發商業大廈
Max Up Ind Ltd,環保袋, 2389 3418,"Kwun Tong Ind Centre, Kwun Tong"
利俊製品有限公司,環保袋, 2342 7011,觀塘 宏光工業大廈
香港不織布袋有限公司,環保袋, 2405 6123,荃灣 豪力中心
創意環保袋有限公司,環保袋, 8113 2070,荃灣 沙咀道362號全發商業大廈8樓807室
力盈國際有限公司,環保袋, 2332 9180,柴灣 德景工業大廈
香港環保袋有限公司,環保袋, 2415 2330,牛池灣 金池徑18
South China Hse Of Technology Internatl Ltd,環境保護設備, 3422 8732,"Sea View Est, North Point"
世潔香港有限公司,環境保護設備, 2688 5738,粉嶺 サ芳園
德商達思系統亞洲股份有限公司,環境保護設備, 2596 0099,灣仔 祥豐大廈
聲震環保儀器有限公司 ,環境保護設備, 2833 9987,北角 柯達大廈
Ecovision Asia Ltd,環境保護設備, 2544 4911,"Kai Wong Coml Bldg, Sheung Wan"
IDZ Mfg Ltd,環境保護設備, 2487 1628,"Primoknit Ind Bldg, Kwai Chung"
正昌科技有限公司,環境保護設備, 2394 9578,元朗 宏利街4
再生環保貿易有限公司 ,環境保護設備, 2656 6298,大埔 南華莆村
東阪國際有限公司,環境保護設備, 2626 1060,旺角 始創中心
保聯環境工程有限公司,環境保護設備, 2415 7838,屯門 開泰工廠大廈
耀港裝飾材料有限公司,"牆紙─零售,地毯,窗簾,牆紙", 2833 0027,灣仔 駱克道308-312號金冠大廈地下B6號
Bonny Trdg Co,牆紙─零售, 2326 5541,"Selwyn Fty Bldg, Kwun Tong"
Wpp Ltd,牆紙─零售, 3525 1785,"256 Hennessy Rd, Wan Chai"
